Driver_ID,Driver_Name,Car_ID,Trip_Length_km,Trip_Date,Trip_Rating
1,Carla C.A.,80,26.4,2024-05-27,3
1,Carla C.A.,87,15.7,2024-04-25,4
1,Carla C.A.,38,11.6,2024-08-08,5
1,Carla C.A.,63,8.4,2024-10-02,1
1,Carla C.A.,71,24.9,2024-04-13,4
1,Carla C.A.,14,21.9,2024-12-08,5
1,Carla C.A.,96,26.2,2024-08-04,2
1,Carla C.A.,39,5.7,2024-01-10,4
1,Carla C.A.,28,2.1,2024-12-14,3
1,Carla C.A.,24,18.7,2024-03-19,2
1,Carla C.A.,32,1.5,2024-06-30,4
1,Carla C.A.,56,3.4,2024-10-25,5
1,Carla C.A.,48,18.6,2024-05-18,5
1,Carla C.A.,32,29.5,2024-07-05,5
1,Carla C.A.,64,27.6,2024-11-15,5
1,Carla C.A.,45,29.8,2024-01-21,4
1,Carla C.A.,68,7.3,2024-09-18,5
1,Carla C.A.,76,10.8,2024-08-23,5
1,Carla C.A.,94,29.3,2024-05-05,4
1,Carla C.A.,12,14.4,2024-07-16,4
1,Carla C.A.,31,15.4,2024-04-02,5
1,Carla C.A.,83,22.7,2024-03-27,2
1,Carla C.A.,51,11.9,2024-08-20,5
1,Carla C.A.,91,27.9,2024-08-05,5
1,Carla C.A.,11,25.7,2024-03-22,4
1,Carla C.A.,35,12.9,2024-09-11,4
1,Carla C.A.,37,1.8,2024-12-16,3
1,Carla C.A.,12,6.0,2024-04-02,5
1,Carla C.A.,90,12.9,2024-09-30,4
1,Carla C.A.,7,29.5,2024-09-30,5
1,Carla C.A.,27,21.7,2024-03-19,4
1,Carla C.A.,39,17.9,2024-11-23,4
1,Carla C.A.,72,17.1,2024-03-11,5
1,Carla C.A.,75,27.7,2024-03-22,4
1,Carla C.A.,44,8.8,2024-02-01,4
1,Carla C.A.,54,16.3,2024-12-30,4
1,Carla C.A.,75,24.3,2024-12-16,3
1,Carla C.A.,27,18.4,2024-03-08,3
1,Carla C.A.,42,11.6,2024-02-25,4
1,Carla C.A.,8,16.4,2024-01-09,1
1,Carla C.A.,97,11.7,2024-07-05,4
1,Carla C.A.,52,4.4,2024-01-13,1
1,Carla C.A.,40,14.9,2024-11-28,4
1,Carla C.A.,60,24.9,2024-08-13,5
1,Carla C.A.,44,5.5,2024-02-15,2
1,Carla C.A.,50,23.1,2024-12-16,3
1,Carla C.A.,24,3.7,2024-11-21,5
1,Carla C.A.,89,29.8,2024-07-10,4
1,Carla C.A.,41,24.2,2024-04-07,5
1,Carla C.A.,24,29.9,2024-04-15,1
1,Carla C.A.,89,2.2,2024-11-01,5
1,Carla C.A.,68,22.1,2024-12-15,3
1,Carla C.A.,61,22.5,2024-03-14,4
1,Carla C.A.,14,11.8,2024-11-24,4
1,Carla C.A.,79,20.5,2024-08-06,5
1,Carla C.A.,100,14.1,2024-11-08,2
1,Carla C.A.,50,17.3,2024-09-08,3
1,Carla C.A.,80,7.7,2024-08-11,4
1,Carla C.A.,29,29.5,2024-11-17,3
1,Carla C.A.,91,15.8,2024-04-27,4
1,Carla C.A.,87,4.7,2024-06-03,1
1,Carla C.A.,45,26.3,2024-08-15,5
1,Carla C.A.,13,25.8,2024-09-23,5
1,Carla C.A.,33,26.3,2024-05-15,4
1,Carla C.A.,42,22.4,2024-11-23,4
1,Carla C.A.,61,27.5,2024-09-28,4
1,Carla C.A.,10,7.0,2024-07-01,4
1,Carla C.A.,81,11.7,2024-09-20,5
1,Carla C.A.,96,28.4,2024-05-09,4
1,Carla C.A.,54,6.3,2024-07-08,4
1,Carla C.A.,8,25.0,2024-09-26,4
1,Carla C.A.,11,6.0,2024-08-26,4
1,Carla C.A.,68,2.8,2024-01-09,5
1,Carla C.A.,97,22.8,2024-08-04,4
1,Carla C.A.,27,7.7,2024-04-30,5
1,Carla C.A.,65,23.9,2024-12-28,5
1,Carla C.A.,39,24.0,2024-09-22,3
1,Carla C.A.,38,10.8,2024-09-03,5
1,Carla C.A.,62,13.9,2024-07-02,4
